"Clinic Name","Doctor Name","City","Specialty","Instagram Handle","Phone Number","WhatsApp Number","Website","Google Rating","Review Count","Pain Signal","ICP Score","Website Status","IG Direct Link"
"Ferdows Medical Center","Dr. Zohreh Ahrari","Dubai","","@ferdows_medical_center","056 4111111","+971564164701","https://ferdowsmedicalcenter.ae/","4.9","359","The clinic provides a WhatsApp number (+971564164701) which is likely a mobile number, suggesting good responsiveness for inquiries via WhatsApp. Another landline number (+971 4 321 3330) is also provided.","3","Active","https://instagram.com/ferdows_medical_center"
"German Dental & Neuromuscular Clinic","Dr. Abdolreza Nassouti","Dubai","","@germandentaluae","+971 4 3755391","+971568004722","https://germandent.com/","4.8","354","The phone number +971 56 800 4722 is a mobile number in the UAE, which likely supports WhatsApp. It is not a landline and there is no information about an IVR. A direct call would likely go to a mobile device or a direct line at the clinic.","3","Active","https://instagram.com/germandentaluae"
"Esthetic Dubai (La Maison Des Sourires)","","Dubai","Cosmetic","@esthetic.dubai.uae","+971 4 239 8848","","https://estheticdubai.com","4.9","342","High volume; potential for missed night/weekend inquiries.","3",,
"La Perla Dental Clinic DMCC","Dr. Jamal Zoubi","Dubai","","@laperladental_clinic","+971 4 4355678","+971564662598","https://laperladental.com/","4.8","337","The phone number +97144321732 is a landline, and the mobile number +971564662598 is a direct line.","3","Active","https://instagram.com/laperladental_clinic"
"New Ivory Dental & Implant Clinic","Dr. Tanveer Ahmed","Dubai","Implant","@new.ivory.dental","+971 4 349 3313","","https://newivory.com","5.0","331","CRITICAL: Website unreachable; clinic losing massive digital lead volume.","3",,
"Samaa Medical Centre","Not found","Dubai","","@samaamedicalcenter","+971 4 3944444","+971562291810","https://samaamedicalcenter.ae/","4.5","328","The provided phone number (04 3944444) was not found on the website or Google Maps. The website lists +971 56 229 1810, which is a mobile number.","3","Inactive/Error","https://instagram.com/samaamedicalcenter"
"Hadiya Dental Center","Dr. Fathima Nooff","Dubai","","@hadiya.dental.center","+971 4 2898888","","https://www.hadiyacare.com","4.8","304","Cannot be determined without direct interaction","3","Active","https://instagram.com/hadiya.dental.center"
"Micris Dental Clinic","","Dubai","Premium Multi-specialty","@micrisdental","+971 4 330 0441","","https://micrisdentalclinic.com/","4.8","300","One of Dubai's largest providers - high traffic environment creates response delays.","3",,
"SameDay Dental Clinic","Dr. Costa Nicolopoulos","Dubai","Implant / ZAGA Center","@samedayimplants","+971 4 3156000","","https://www.samedayme.com/","4.8","285","Specialized implant focus - patients expect high-precision appointment coordination.","3",,
"Sameday Dental Implants","Dr. Costa Nicolopoulos","Dubai","","@samedayimplants","+971 4 3156000","","https://www.samedayme.com/","4.8","285","Cannot determine IVR/direct line without direct interaction.","3","Active","https://instagram.com/samedayimplants"
"Dr Krish Esthetik Studio","Dr. Krish","Dubai","Aesthetics","@dr_krish_esthetik","+971 50 837 3481","","https://drkrishesthetik.com","4.8","276","CRITICAL: Website unreachable; potential lost aesthetic patient leads.","3",,
"The TopDent","Dr. Divakar","Dubai","Cosmetic","@topdentdubai","+971 50 144 0432","","https://topdent.ae","5.0","260","CRITICAL: Website suspended; urgent need for automated response backup.","3",,
"Magnum Clinic Dubai","","Dubai","Cosmetic / General","@magnumclinic","+971 4 388 3886","","https://magnumclinic.ae/","4.8","200","Modern clinic focus - patients are digitally native and prefer WhatsApp.","3",,
"Dr. Thomas Dental Implant Clinic","Dr. Thomas","Dubai","Implant","","+971 4 4431718","+971567595137","https://drthomasdentalimplantclinic.com/","4.9","200","Direct WhatsApp listed - high potential for automated missed-call fallback integration.","3",,
"Reveal Medical Center","Dr. Alaa Abou Laban","Dubai","","@revealmedicalcenter","+971 4 3855555","","https://reveal.ae/","4.9","173","Not performed by agent","3","Active","https://instagram.com/revealmedicalcenter"
"The Perio Clinic","Dr. Geoffrey Sharpe","Dubai","Periodontics/Surgical","@theperioclinic","+971 4 442 8515","","https://perio.ae","5.0","158","Strict surgical focus - needs high quality lead pre-screening.","3",,
"APA Aesthetic Dental Center","","Dubai","Boutique Cosmetic","@apa.aesthetic","+971 4 321 0000","","https://apaaesthetic.ae/","4.9","150","High-end boutique styling - patient experience starts with the first phone call.","3",,
"McBody Clinic LLC","Dr. Shaghayegh Kazemian","Dubai","","@mcbodyclinic","+971 4 3888888","","https://newsenseclinic.com","4.6","150","Not found","3","Active","https://instagram.com/mcbodyclinic"
"Modern Dental Clinic","Dr. Darach Judge","Dubai","","@trulydentaldubai","+971 4 3635367","","https://www.trulydental.ae/","4.9","137","Landline number, no direct answer simulated.","3","Active","https://instagram.com/trulydentaldubai"
"Dental Implantologist UAE","Dr. Gunjan Alad","Dubai","Implant","@drgunjan_alad","+971 58 521 7979","","https://dentalimplantologistuae.com","5.0","125","CRITICAL: Website unreachable; doctor likely loses direct implant inquiries.","3",,
