Clinic Name,City,Doctor,Specialty,Website,Speed Score,Load Time,Mobile Friendly,Google Rating,Review Count,WhatsApp Path,Revenue Leak Score,Pain Proof,Jawab Angle,Notes,Status,Channel,Audit Date
Dentist Direct Dubai,Dubai,Dr. Zul Paliwalla,Digital Dentistry,https://dentistdirect.ae,Skipped,Skipped,Skipped,4.8,373,No direct WhatsApp found,50,A 24/7 emergency promise creates a high expectation for instant response; any missed call or slow reply is visibly off-brand.,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; Likely missed call issues; AI visibility: needs manual check,Ready To Send Today,IG DM,2026-06-03
Dr. Michael's Dental Clinic,Dubai,,Cosmetic / Implant,https://www.drmichaels.com/,Skipped,Skipped,Skipped,4.7,500,No direct WhatsApp found,46,500 reviews plus cosmetic and implant positioning suggest high inbound volume; even one slow reply likely costs a premium case.,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Cosmetic / Implant; AI visibility: needs manual check,Ready To Send Today,IG DM,2026-06-03
Dr. Joy Dental Clinic,Dubai,,Multi-specialty / Cosmetic,https://www.drjoydentalclinic.com/,Skipped,Skipped,Skipped,4.6,450,No direct WhatsApp found,46,Multi-branch cosmetic clinic with 450 reviews; response consistency across locations is hard to maintain and premium inquiries can slip between teams.,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Multi-specialty / Cosmetic; AI visibility: needs manual check,Ready To Send Today,IG DM,2026-06-03
Dentzz Dental Care Centre,Dubai,Dr. Shantanu Jambhekar,Premium Cosmetic,https://dentzz.ae,Skipped,Skipped,Skipped,5.0,444,No direct WhatsApp found,46,Premium cosmetic brand with heavy international-style lead flow; landline-first access suggests a human response bottleneck.,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Premium Cosmetic; AI visibility: needs manual check,Ready To Send Today,IG DM,2026-06-03
New Ivory Dental & Implant Clinic,Dubai,Dr. Tanveer Ahmed,Implant,https://newivory.com,Skipped,Skipped,Skipped,5.0,331,No direct WhatsApp found,46,"Website is unreachable, so every missed call or DM matters even more because the normal digital path is already broken.",Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Implant; AI visibility: needs manual check,Ready To Send Today,IG DM,2026-06-03
Hadiya Dental Center,Dubai,Dr. Fathima Nooff,,https://www.hadiyacare.com,Skipped,Skipped,Skipped,4.8,304,No direct WhatsApp found,46,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Not Contacted,,2026-06-03
Micris Dental Clinic,Dubai,,Premium Multi-specialty,https://micrisdentalclinic.com/,Skipped,Skipped,Skipped,4.8,300,No direct WhatsApp found,46,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Premium Multi-specialty,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Premium Multi-specialty; AI visibility: needs manual check,Not Contacted,,2026-06-03
SameDay Dental Clinic,Dubai,Dr. Costa Nicolopoulos,Implant / ZAGA Center,https://www.samedayme.com/,Skipped,Skipped,Skipped,4.8,285,No direct WhatsApp found,46,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Implant / ZAGA Center,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Implant / ZAGA Center; AI visibility: needs manual check,Not Contacted,,2026-06-03
Sameday Dental Implants,Dubai,Dr. Costa Nicolopoulos,,https://www.samedayme.com/,Skipped,Skipped,Skipped,4.8,285,No direct WhatsApp found,46,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Not Contacted,,2026-06-03
Magnum Clinic Dubai,Dubai,,Cosmetic / General,https://magnumclinic.ae/,Skipped,Skipped,Skipped,4.8,200,No direct WhatsApp found,46,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Cosmetic / General,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Cosmetic / General; AI visibility: needs manual check,Not Contacted,,2026-06-03
Hollywod Smile Clinic,Dubai,Dr. Mohammad Alhussain,,https://hollywoodsmiledc.com/,Skipped,Skipped,Skipped,4.4,1153,No direct WhatsApp found,44,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Not Contacted,,2026-06-03
APA Aesthetic Dental Center,Dubai,,Boutique Cosmetic,https://apaaesthetic.ae/,Skipped,Skipped,Skipped,4.9,150,No direct WhatsApp found,44,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Boutique Cosmetic,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; High-ticket: Boutique Cosmetic; AI visibility: needs manual check,Not Contacted,,2026-06-03
Modern Dental Clinic,Dubai,Dr. Darach Judge,,https://www.trulydental.ae/,Skipped,Skipped,Skipped,4.9,137,No direct WhatsApp found,44,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Not Contacted,,2026-06-03
Reveal Medical Center,Dubai,Dr. Alaa Abou Laban,,https://reveal.ae/,Skipped,Skipped,Skipped,4.9,173,No direct WhatsApp found,41,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Not Contacted,,2026-06-03
The Perio Clinic,Dubai,Dr. Geoffrey Sharpe,Periodontics/Surgical,https://perio.ae,Skipped,Skipped,Skipped,5.0,158,No direct WhatsApp found,41,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Not Contacted,,2026-06-03
McBody Clinic LLC,Dubai,Dr. Shaghayegh Kazemian,,https://newsenseclinic.com,Skipped,Skipped,Skipped,4.6,150,No direct WhatsApp found,41,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Recover + Visible,No direct WhatsApp path; WhatsApp path unclear; AI visibility: needs manual check,Not Contacted,,2026-06-03
